pattern_idx,overall_bitwise_fraction_diff,per_gate_mean_hamming,counted_bits_total,counted_gates_total,final_accuracy,final_hard_loss,per_layer_bitwise_fraction_diff
0,0.3125,0.3125,2368,148,0.984375,32.0,"[0.21551723778247833, 0.3920454680919647, 0.3680555522441864, 0.28125]"
1,0.28125,0.28125,2368,148,0.9814453125,38.0,"[0.20000000298023224, 0.34429824352264404, 0.328125, 0.2265625]"
2,0.28969594594594594,0.28969594836235046,2368,148,0.9814453125,38.0,"[0.2109375, 0.37037035822868347, 0.3125, 0.2109375]"
3,0.30701013513513514,0.30701014399528503,2368,148,0.97314453125,55.0,"[0.22045454382896423, 0.39431819319725037, 0.3125, 0.28125]"
4,0.33614864864864863,0.3361486494541168,2368,148,0.97216796875,57.0,"[0.23726852238178253, 0.4094827473163605, 0.390625, 0.28125]"
5,0.3171452702702703,0.31714528799057007,2368,148,0.95166015625,99.0,"[0.22413793206214905, 0.3984375, 0.36538460850715637, 0.265625]"
6,0.2749155405405405,0.27491554617881775,2368,148,0.98291015625,35.0,"[0.1908482164144516, 0.33836206793785095, 0.32451921701431274, 0.2421875]"
7,0.28547297297297297,0.2854729890823364,2368,148,0.974609375,52.0,"[0.2020089328289032, 0.3431818187236786, 0.3556034564971924, 0.21875]"
8,0.24704391891891891,0.2470439225435257,2368,148,0.97998046875,41.0,"[0.17129629850387573, 0.3125, 0.28333333134651184, 0.1640625]"
9,0.3137668918918919,0.3137668967247009,2368,148,0.984375,32.0,"[0.20681817829608917, 0.3872767984867096, 0.39008620381355286, 0.2578125]"
10,0.28209459459459457,0.2820945978164673,2368,148,0.97705078125,47.0,"[0.21250000596046448, 0.33564814925193787, 0.3173076808452606, 0.328125]"
11,0.30996621621621623,0.30996623635292053,2368,148,0.98193359375,37.0,"[0.1997767835855484, 0.3958333432674408, 0.37037035822868347, 0.265625]"
12,0.2808277027027027,0.28082770109176636,2368,148,0.9560546875,90.0,"[0.1864224076271057, 0.35648149251937866, 0.3348214328289032, 0.265625]"
13,0.29180743243243246,0.2918074429035187,2368,148,0.9765625,48.0,"[0.16155660152435303, 0.3815789520740509, 0.37291666865348816, 0.2109375]"
14,0.30574324324324326,0.3057432472705841,2368,148,0.98486328125,31.0,"[0.22685185074806213, 0.36970338225364685, 0.32175925374031067, 0.3125]"
15,0.296875,0.296875,2368,148,0.9775390625,46.0,"[0.23020833730697632, 0.3488636314868927, 0.3149999976158142, 0.3828125]"
16,0.3015202702702703,0.30152028799057007,2368,148,0.9775390625,46.0,"[0.23068182170391083, 0.3816964328289032, 0.32543104887008667, 0.140625]"
17,0.26309121621621623,0.26309123635292053,2368,148,0.98388671875,33.0,"[0.18640351295471191, 0.3136363625526428, 0.3348214328289032, 0.2109375]"
18,0.3002533783783784,0.30025339126586914,2368,148,0.97607421875,49.0,"[0.1875, 0.3791666626930237, 0.34490740299224854, 0.3046875]"
19,0.29940878378378377,0.29940879344940186,2368,148,0.982421875,36.0,"[0.21136364340782166, 0.3962053656578064, 0.2823275923728943, 0.2890625]"
20,0.2905405405405405,0.29054054617881775,2368,148,0.98291015625,35.0,"[0.20370370149612427, 0.3674568831920624, 0.3147321343421936, 0.234375]"
21,0.3120777027027027,0.31207770109176636,2368,148,0.9794921875,42.0,"[0.22368420660495758, 0.3950892984867096, 0.34259259700775146, 0.2578125]"
22,0.25506756756756754,0.2550675868988037,2368,148,0.98388671875,33.0,"[0.1785714328289032, 0.3136160671710968, 0.2946428656578064, 0.2421875]"
23,0.27576013513513514,0.27576014399528503,2368,148,0.994140625,12.0,"[0.18287037312984467, 0.3443181812763214, 0.3467741906642914, 0.15625]"
24,0.30532094594594594,0.30532094836235046,2368,148,0.970703125,60.0,"[0.19560185074806213, 0.4036017060279846, 0.32175925374031067, 0.265625]"
25,0.2998310810810811,0.2998310923576355,2368,148,0.98583984375,29.0,"[0.2034090906381607, 0.3607456088066101, 0.3950892984867096, 0.1953125]"
26,0.29307432432432434,0.2930743396282196,2368,148,0.9775390625,46.0,"[0.20696721971035004, 0.3636363744735718, 0.3489583432674408, 0.296875]"
27,0.31925675675675674,0.3192567527294159,2368,148,0.96728515625,67.0,"[0.20192307233810425, 0.4148706793785095, 0.3541666567325592, 0.2578125]"
28,0.3298141891891892,0.32981419563293457,2368,148,0.97509765625,51.0,"[0.2366071492433548, 0.4091981053352356, 0.40120968222618103, 0.1796875]"
29,0.32728040540540543,0.3272804021835327,2368,148,0.9873046875,26.0,"[0.23135964572429657, 0.4052083194255829, 0.3586956560611725, 0.3359375]"
30,0.26182432432432434,0.2618243396282196,2368,148,0.98681640625,27.0,"[0.16435185074806213, 0.3410087823867798, 0.3146551847457886, 0.1640625]"
31,0.2934966216216216,0.29349663853645325,2368,148,0.9755859375,50.0,"[0.19090908765792847, 0.3631465435028076, 0.34953704476356506, 0.3046875]"
